sc,LocId,component,net_present_kwh,npc_usd,component_lcoc_usd_per_kwh
0,stn_143_Clinton,infrastructure,7871218.954357222,159014.62904833327,0.020202033505916962
0,stn_147_South_Salt_Lake,energy,68533481.15183419,2458109.0777924876,0.03586727299532048
0,stn_147_South_Salt_Lake,flatDmd,68533481.15183419,2161675.13024383,0.03154188425734122
0,stn_147_South_Salt_Lake,grid upgrades,68533481.15183419,588505.0518239789,0.008587117448771657
0,stn_147_South_Salt_Lake,infrastructure,68533481.15183419,3635135.51905933,0.05304174628173024
0,stn_147_South_Salt_Lake,timevarDmd,68533481.15183419,940435.9361979094,0.013722284646746566
0,stn_14_Taylorsville,energy,12068711.592255479,368880.1698172868,0.03056499999999984
0,stn_14_Taylorsville,flatDmd,12068711.592255479,212697.21798247896,0.01762385457275881
0,stn_14_Taylorsville,grid upgrades,12068711.592255479,44385.61806338441,0.0036777428745473355
0,stn_14_Taylorsville,infrastructure,12068711.592255479,357677.8032349393,0.02963678438255679
0,stn_151_North_Salt_Lake,energy,197231092.70324162,6661871.8210692,0.033776985817813236
0,stn_151_North_Salt_Lake,flatDmd,197231092.70324162,4210432.225065484,0.021347710279132286
0,stn_151_North_Salt_Lake,grid upgrades,197231092.70324162,536828.80477103,0.002721826449436929
0,stn_151_North_Salt_Lake,infrastructure,197231092.70324162,7080384.798709847,0.03589892801214236
0,stn_151_North_Salt_Lake,timevarDmd,197231092.70324162,1847513.9351899307,0.009367254979263042
0,stn_157_Farmington,energy,7974200.523898942,243731.43901297517,0.0305650000000005
0,stn_157_Farmington,flatDmd,7974200.523898942,119420.30248163734,0.01497583389378418
0,stn_157_Farmington,infrastructure,7974200.523898942,200820.6400555864,0.02518379610015077
0,stn_160_Bountiful,energy,7424831.879400928,226939.9863938919,0.030565000000000342
0,stn_160_Bountiful,flatDmd,7424831.879400928,103320.63202781242,0.013915551719690769
0,stn_160_Bountiful,grid upgrades,7424831.879400928,28957.827973407148,0.003900132480271541
0,stn_160_Bountiful,infrastructure,7424831.879400928,173746.96784044293,0.02340079488162925
0,stn_167_West_Valley_City,energy,942867989.6209872,33591895.92076984,0.035627358538572365
0,stn_167_West_Valley_City,flatDmd,942867989.6209872,21983982.320410408,0.023316076653792754
0,stn_167_West_Valley_City,grid upgrades,942867989.6209872,6147662.7209092155,0.006520173331348798
0,stn_167_West_Valley_City,infrastructure,942867989.6209872,36968901.5084714,0.03920898992798781
0,stn_167_West_Valley_City,timevarDmd,942867989.6209872,12588985.507046966,0.013351800724624737
0,stn_172_Santaquin,energy,8022366.346239567,272985.0572886012,0.034027996915967466
0,stn_172_Santaquin,flatDmd,8022366.346239567,93713.29171782327,0.011681502398821613
0,stn_172_Santaquin,grid upgrades,8022366.346239567,6169.17158959245,0.0007689964934703101
0,stn_172_Santaquin,infrastructure,8022366.346239567,157590.98606690386,0.019643952827057522
0,stn_172_Santaquin,timevarDmd,8022366.346239567,77081.09680898236,0.009608274352256878
0,stn_174_Eagle_Mountain,energy,46825966.63566333,1431235.6702190528,0.030565000000000068
0,stn_174_Eagle_Mountain,flatDmd,46825966.63566333,488789.98764972965,0.010438438814362032
