sc,stationary_cost_case,dynamic_cost_case,batt_cost_kwh,lp_elec_frac,stationary_capex_per_kw,stationary_opex_per_kw_year,stationary_cost_readable,dynamic_capex_per_lane_mile,dynamic_opex_per_lane_mile_year,dynamic_cost_readable,electrification_percent,system_total_npc_usd,system_net_present_kwh,system_usd_per_kwh,location_npc_zone_usd,battery_npc_zone_usd,system_total_npc_for_mile_usd,system_net_present_miles_zone,system_usd_per_mile,n_ev_vehicles,energy_zone_kwh,grid_upgrade_wasatch_kw,grid_upgrade_wasatch_cost_usd,energy_stn_kwh_wasatch,energy_dwpt_kwh_wasatch,energy_total_kwh_wasatch,energy_frac_stn,energy_frac_dwpt
23,2,0,300,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2699430256.0493126,23953814275.775414,0.11269312790736868,2699430256.0493126,1019086729.2957795,3718516985.345092,11829136001.172379,0.31435237408518696,8785,2679260.007230959,393535.6133903319,118060684.01709957,2811123.1818647045,886.3816549572311,2812009.563519662,0.9996847871122287,0.0003152128877711882
24,1,0,300,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2732333496.3685646,23416679173.795746,0.1166832186617717,2732333496.3685646,992701308.4066591,3725034804.7752237,11543495199.033043,0.3226955736151089,8785,2588793.9205740467,380406.46837573766,114121940.51271804,2760796.430502583,2087.653410281934,2762884.083912865,0.9992443934139555,0.0007556065860444452
25,0,0,300,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2762638737.1667275,23060522814.106503,0.11979948414165076,2762638737.1667275,976341689.6898663,3738980426.856594,11369060440.869225,0.3288733001555518,8785,2510268.1245997553,371952.0433464651,111585613.0039395,2730882.431986898,3257.4106537585753,2734139.842640657,0.9988086159299692,0.0011913840700307921
26,0,1,300,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2753457838.4836407,22527893980.288536,0.12222437840362983,2753457838.4836407,946404117.7736127,3699861956.2572536,11266342142.006973,0.3283995736701606,8785,2450455.1324387123,584618.2976221533,148496892.60669437,2610382.9089123267,71396.53894676521,2681779.4478590917,0.9733771772306772,0.026622822769322898
27,0,2,300,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2742970835.482877,21127395784.12533,0.12983004926446665,2742970835.482877,846047912.4052861,3589018747.8881626,10752122183.252811,0.3337963135759667,8785,2254253.7346163425,1363607.1457684182,254309469.7017622,2279582.289884638,258980.93069795572,2538563.2205825937,0.8979812956407207,0.10201870435927936
28,0,2,500,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2712893941.7011614,20154042944.06284,0.13460792701646745,2712893941.7011614,1244872432.0092347,3957766373.710396,10465404274.34292,0.3781761573619561,8785,2061721.974860184,1660902.3706217452,297292254.5614359,2105257.4514306965,317760.90204698837,2423018.353477685,0.8688574101839073,0.13114258981609273
29,1,2,500,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2670480768.5082946,20771267620.383465,0.12856609511340908,2670480768.5082946,1291431840.4297764,3961912608.9380713,10779354933.80494,0.36754635442174644,8785,2165148.968745686,1358098.6344188722,257267809.5354792,2212174.529583543,263903.7626522287,2476078.2922357717,0.8934186517931397,0.10658134820686027
30,2,2,500,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2619111238.0883284,21464168707.045547,0.12202248658382064,2619111238.0883284,1340982454.7429395,3960093692.831268,11098375998.069805,0.3568174022505631,8785,2290905.798771976,1061001.871002715,221527444.29992786,2330143.2380414233,209628.1283960859,2539771.366437509,0.9174618112613312,0.0825381887386688
31,2,1,500,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2635128938.857145,22646602800.528355,0.11635868576260217,2635128938.857145,1484766310.2283068,4119895249.0854516,11598234985.263311,0.3552174321627541,8785,2458339.8814970143,527217.5622102491,138456621.68294185,2610499.2101170053,49101.985323126224,2659601.1954401317,0.981537839053723,0.018462160946276927
32,2,0,500,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2664067405.0850244,23207915619.816887,0.11479132588754407,2664067405.0850244,1541287347.0037007,4205354752.088725,11808760762.954266,0.356121597897174,8785,2521962.046586873,383404.2062292961,115021261.86878529,2712510.7687328886,2394.3579008730057,2714905.1266337615,0.9991180694023583,0.000881930597641839
33,1,0,500,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2667310753.8626657,22675274265.315315,0.11763080449009841,2667310753.8626657,1503390889.4816358,4170701643.344301,11430294011.955385,0.36488139666241337,8785,2432333.6295927004,372496.6240616983,111748987.21850948,2667711.1797996974,4527.51399656763,2672238.693796265,0.9983057224614409,0.001694277538559141
34,0,0,500,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2712333003.3035927,22356360286.571648,0.12132265576936314,2712333003.3035927,1495428336.2939749,4207761339.5975676,11317528762.703482,0.37179153045001284,8785,2366272.8408799414,403428.0339959751,120216249.77736154,2629679.6688585645,20902.794550078157,2650582.4634086424,0.9921138863481361,0.007886113651863981
35,0,1,500,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2752846997.0438223,21866897775.621704,0.12589106261395852,2752846997.0438223,1439621943.9456491,4192468940.9894714,11227716954.225409,0.37340351186994336,8785,2289287.886292194,801054.8704656466,187243444.35451412,2467943.704396511,134083.1960701384,2602026.9004666493,0.9484697118057881,0.05153028819421191
36,0,1,100,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2787346415.8454566,23155132811.358738,0.12037704290247583,2787346415.8454566,342807773.1332912,3130154188.978748,11151247426.199009,0.2806999135921501,8785,2575831.366781408,421599.48332040233,126479844.99611364,2715543.2533170115,27984.703477210976,2743527.9567942224,0.9897997381772954,0.010200261822704643
37,0,1,100,0.4,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,614508452.3444712,5222872811.054804,0.11765717347046901,614508452.3444712,81436261.2384126,695944713.5828838,2557801157.804991,0.27208710554346516,3514,637638.1703969896,79154.98998476652,23746496.995429683,628523.4200762006,0.0,628523.4200762006,1.0,0.0
38,0,2,100,0.4,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,40,600280505.1537808,5109708488.190624,0.11747842495146792,600280505.1537808,77843393.30199583,678123898.4557767,2489749680.764007,0.27236629597546,3514,619206.571681373,80026.87873759949,24008063.621279847,611893.7756565157,5040.692934777611,616934.4685912933,0.9918294516007713,0.008170548399228717
39,1,2,100,0.4,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,40,601356142.2860401,5224844034.176398,0.11509552023993247,601356142.2860401,80623868.19117256,681980010.4772127,2549790526.9066563,0.26746511263596784,3514,644696.7567731385,80973.00341702176,24291901.02510626,621045.4073119934,3592.075544093841,624637.4828560873,0.9942493435909906,0.005750656409009374
